title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
The Purple Rose of Cairo,1985,H,"no major studio, but budget $45.0M in today's money, avg of 2 sources (> $35M)",high,,45000000,45000000.0,45000000.0,False,wikipedia: $15 million | tmdb: $15000000,wikipedia+tmdb,United States,False,Jack Rollins & Charles H. Joffe Productions,wikidata:P272,,Orion Pictures,https://en.wikipedia.org/wiki/The_Purple_Rose_of_Cairo,https://www.wikidata.org/wiki/Q912729,https://www.themoviedb.org/movie/10849,no budget text
In a Lonely Place,1950,H,"US film before 1980, major as distributor and so its financier: Columbia Pictures (Sony)",medium,,,,,False,,,United States,False,Santana Productions; Santana Pictures Corporation,wikipedia:studio,Sony,Columbia Pictures,https://en.wikipedia.org/wiki/In_a_Lonely_Place,https://www.wikidata.org/wiki/Q1305455,https://www.themoviedb.org/movie/17057,
Certified Copy,2010,A,"no major studio; budget $7.2M in today's money, avg of 2 sources (< $35M)",high,,7217600,5335200.000000001,9100000.0,False,wikipedia: €3.8 million | tmdb: $7000000,wikipedia+tmdb,France; Iran; Italy; Belgium,True,MK2; BiBi Film; France 3 Cinéma,wikipedia:studio,,MK2 Diffusion (France); BiM Distribuzione (Italy); Alternative Films (Belgium),https://en.wikipedia.org/wiki/Certified_Copy_(film),https://www.wikidata.org/wiki/Q1214594,https://www.themoviedb.org/movie/48303,no budget text
Where Is the Friend's House?,1987,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Iran,True,Kanoon; Farabi Cinema,tmdb,,,https://en.wikipedia.org/wiki/Where_Is_the_Friend's_House?,https://www.wikidata.org/wiki/Q2308266,https://www.themoviedb.org/movie/49964,no budget text
Chef,2014,A,"no major studio; budget $14.3M in today's money, avg of 2 sources (< $35M)",high,,14300000,14300000.0,14300000.0,False,wikipedia: $11 million<ref>{{cite web|url=https://www.latimes.com/enter | tmdb: $11000000,wikipedia+tmdb,United States,False,Aldamisa Entertainment; Fairview Entertainment; Fetisov Teterin Films; Prescience; Altus Media; Kilburn Media,wikipedia:studio,,Open Road Films (United States); Lionsgate UK; Lionsgate (United Kingdom),https://en.wikipedia.org/wiki/Chef_(2014_film),https://www.wikidata.org/wiki/Q15046490,https://www.themoviedb.org/movie/212778,no budget text
Climax,2018,A,"no major studio; budget $3.8M in today's money, avg of 2 sources (< $35M)",high,,3770000,3770000.0,3770000.0,False,"wikipedia: $2.9 million<ref name=""budget"">{{cite news |last=Sachs |firs | tmdb: $2900000",wikipedia+tmdb,France; Belgium,True,Rectangle Productions; Wild Bunch (company); Wild Bunch; Les Cinemas de la Zone; Eskwad; KNM; Arte France Cinéma; Artémis Productions,wikipedia:studio,,O Brother Distribution (Belgium); Wild Bunch (France),https://en.wikipedia.org/wiki/Climax_(2018_film),https://www.wikidata.org/wiki/Q52000412,https://www.themoviedb.org/movie/507076,no budget text
Funny Games,1997,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Austria,True,ORF (broadcaster); Österreichischer Rundfunk,wikipedia:studio,,Wega Film,https://en.wikipedia.org/wiki/Funny_Games_(1997_film),https://www.wikidata.org/wiki/Q696928,https://www.themoviedb.org/movie/10234,no budget text
Run Lola Run,1998,A,"no major studio; budget $3.3M in today's money, avg of 2 sources (< $35M)",high,,3280000,3500000.0,3060000.0,False,wikipedia: $1.75 million<ref name=thenumbers>{{cite web|url=http://www. | tmdb: $1530000,wikipedia+tmdb,Germany,True,X-Filme Creative Pool; Westdeutscher Rundfunk; WDR; Arte,wikipedia:studio,,Prokino Filmverleih,https://en.wikipedia.org/wiki/Run_Lola_Run,https://www.wikidata.org/wiki/Q468697,https://www.themoviedb.org/movie/104,no budget text
Court,2014,A,"no major studio; budget $0.5M in today's money, wikipedia (< $35M)",high,,546000,546000.0,,False,wikipedia: {{INR|3.5}} [[crore]]<ref>{{cite news|url=http://epaperbeta.,wikipedia,India,True,Zoo Entertainment,wikipedia:studio,,Zeitgeist Films; Artscope Films; Memento Films,https://en.wikipedia.org/wiki/Court_(2014_film),https://www.wikidata.org/wiki/Q19891224,https://www.themoviedb.org/movie/290815,no budget text
To Be or Not to Be,1942,H,"US film before 1980, major as distributor and so its financier: United Artists (Amazon MGM)",medium,,12000000,12000000.0,12000000.0,False,"wikipedia: $1.2 million<ref name=""tino"">{{cite book |last=Balio |first= | tmdb: $1200000",wikipedia+tmdb,United States,False,Romaine Film Corp,wikipedia:studio,Amazon MGM,United Artists,https://en.wikipedia.org/wiki/To_Be_or_Not_to_Be_(1942_film),https://www.wikidata.org/wiki/Q704972,https://www.themoviedb.org/movie/198,
Never Look Away,2018,A,"no major studio; budget $23.4M in today's money, tmdb (< $35M)",high,,23400000,,23400000.0,False,tmdb: $18000000,tmdb,Germany,True,Wiedemann & Berg Film Production,wikipedia:studio,,Buena Vista International,https://en.wikipedia.org/wiki/Never_Look_Away_(2018_film),https://www.wikidata.org/wiki/Q28796230,https://www.themoviedb.org/movie/423612,no budget text
Frantz,2016,A,"no major studio; budget $14.4M in today's money, wikipedia (< $35M)",high,,14430000,14430000.0,,False,wikipedia: $11.1 million,wikipedia,Germany; France,True,Mandarin et Compagnie - Mandarin Télévision,wikidata:P272,,Mars Films,https://en.wikipedia.org/wiki/Frantz_(film),https://www.wikidata.org/wiki/Q25395940,https://www.themoviedb.org/movie/377263,no budget text
The Killing of a Chinese Bookie,1976,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Faces International Films; Al Ruban Productions,tmdb,,Faces Distribution,https://en.wikipedia.org/wiki/The_Killing_of_a_Chinese_Bookie,https://www.wikidata.org/wiki/Q1212252,https://www.themoviedb.org/movie/32040,no budget text
Dead Man's Letters,1986,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Soviet Union,True,Lenfilm,wikipedia:studio,,Lenfilm,https://en.wikipedia.org/wiki/Dead_Man's_Letters,https://www.wikidata.org/wiki/Q914190,https://www.themoviedb.org/movie/73920,no budget text
The Father,2020,A,"no major studio; budget $6.9M in today's money, avg of 2 sources (< $35M)",high,,6900000,6899999.999999999,6899999.999999999,False,wikipedia: $6&nbsp;million<ref>{{cite news |url= https://www.indiewire. | tmdb: $6000000,wikipedia+tmdb,United Kingdom; France,True,F comme Film; Trademark Films; Ciné-@; AG Studios; Les Films du Cru; Film4 Productions; Film4; Orange S.A; Orange Studio; Canal+ (French TV channel); Canal+; Ciné+ OCS; Ciné+,wikipedia:studio,,UGC (cinema operator); UGC Distribution (France); Lionsgate UK; Lionsgate (United Kingdom),https://en.wikipedia.org/wiki/The_Father_(2020_film),https://www.wikidata.org/wiki/Q65066669,https://www.themoviedb.org/movie/600354,no budget text
House of Gucci,2021,H,major studio: Metro-Goldwyn-Mayer Pictures (Amazon MGM),high,Amazon MGM,86250000,86250000.0,86250000.0,False,wikipedia: $75 million<ref>{{Cite magazine |last=Rubin |first=Rebecca | | tmdb: $75000000,wikipedia+tmdb,United States,False,Metro-Goldwyn-Mayer Pictures; Bron Studios; Bron Creative; Scott Free Productions,wikipedia:studio,,United Artists Releasing,https://en.wikipedia.org/wiki/House_of_Gucci,https://www.wikidata.org/wiki/Q105549749,https://www.themoviedb.org/movie/644495,
Fabian: Going to the Dogs,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany,True,Lupa Film; DCM Pictures; ZDF; Arte; Amilux Film; Studio Babelsberg,wikipedia:studio,,DCM Film Distribution,https://en.wikipedia.org/wiki/Fabian:_Going_to_the_Dogs,https://www.wikidata.org/wiki/Q72626552,https://www.themoviedb.org/movie/620498,tmdb: could not parse budget: '$178'
The Green Butchers,2003,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Denmark,True,M&M Productions,wikidata:P272,,Sandrew Metronome,https://en.wikipedia.org/wiki/The_Green_Butchers,https://www.wikidata.org/wiki/Q690651,https://www.themoviedb.org/movie/4972,no budget text
The Idiots,1998,A,"no major studio; budget $5.0M in today's money, avg of 2 sources (< $35M)",high,,5000000,5000000.0,5000000.0,False,wikipedia: [[United States dollar|USD$]]2.5 million | tmdb: $2500000,wikipedia+tmdb,France; Denmark; Spain; Sweden; Netherlands; Italy,True,Arte; Canal+ (French TV channel); Canal+; Danmarks Radio; Nordisk Film; Nordisk Film- & TV-Fond; Scanbox Entertainment; Zentropa; Zentropa Entertainments2 ApS; Zweites Deutsches Fernsehen,wikipedia:studio,,October Films,https://en.wikipedia.org/wiki/The_Idiots_(1998_film),https://www.wikidata.org/wiki/Q775356,https://www.themoviedb.org/movie/452,no budget text
Nymphomaniac: Vol. I,2013,A,"no major studio; budget $3.1M in today's money, tmdb (< $35M)",high,,3055000,,3055000.0,False,tmdb: $2350000,tmdb,Denmark; Germany; France; Belgium; United Kingdom,True,Zentropa Entertainments; Zentropa International Köln; Zentropa International France; Zentropa International Sweden; Slot Machine; Caviar; Zenbelgie BVBA; ARTE France Cinéma; Film i Väst; Groupe Grand Accord,tmdb,,Vertigo Média; Netflix,,https://www.wikidata.org/wiki/Q21468405,https://www.themoviedb.org/movie/249397,no budget text
Ninjababy,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway,True,Motlys,wikipedia:studio,,Arthaus (Norway); Tri-Art (Sweden); Øst for Paradis (Denmark),https://en.wikipedia.org/wiki/Ninjababy,https://www.wikidata.org/wiki/Q105637627,https://www.themoviedb.org/movie/654074,no budget text
The Worst Person in the World,2021,A,"no major studio; budget $6.1M in today's money, avg of 2 sources (< $35M)",high,,6095000,6439999.999999999,5750000.0,False,wikipedia: €5 million<br>($5.6 million)<ref>{{cite web |url=https://var | tmdb: $5000000,wikipedia+tmdb,Norway; France; Denmark; Sweden,True,Oslo Pictures; Marin Karmitz; MK Productions; Film i Väst; Snowglobe; B-Reel Films,wikipedia:studio,,SF Studios (Norway); Memento Distribution (France); TriArt Film (Sweden); Camera Film (Denmark),https://en.wikipedia.org/wiki/The_Worst_Person_in_the_World,https://www.wikidata.org/wiki/Q107089587,https://www.themoviedb.org/movie/660120,no budget text
Cronos,1992,A,"no major studio; budget $4.0M in today's money, wikipedia (< $35M)",high,,4000000,4000000.0,,False,wikipedia: $2 million<ref>{{cite news |last1=DePalma |first1=Anthony |t,wikipedia,Mexico,True,Fondo de Fomento Cinematográfico; Instituto Mexicano de Cinematografía; Universidad de Guadalajara; Iguana Producciones; Ventana Films,wikipedia:studio,,Prime Films S.L; October Films,https://en.wikipedia.org/wiki/Cronos_(film),https://www.wikidata.org/wiki/Q1140945,https://www.themoviedb.org/movie/11655,no budget text
Parallel Mothers,2021,A,"no major studio; budget $12.6M in today's money, tmdb (< $35M)",high,,12650000,,12649999.999999998,False,tmdb: $11000000,tmdb,Spain,True,El Deseo; Remotamente Films AIE,wikipedia:studio,,Sony Pictures Releasing International; Sony Pictures Entertainment Iberia,https://en.wikipedia.org/wiki/Parallel_Mothers,https://www.wikidata.org/wiki/Q106103421,https://www.themoviedb.org/movie/766798,no budget text
Spencer,2021,A,"no major studio; budget $20.7M in today's money, avg of 2 sources (< $35M)",high,,20700000,20700000.0,20700000.0,False,wikipedia: $18 million<ref>{{cite web |url=https://www.hollywoodreporte | tmdb: $18000000,wikipedia+tmdb,Germany; United Kingdom; United States; Chile,False,Komplizen Film; Fábula; Shoebox Films; FilmNation Entertainment,wikipedia:studio,,Neon (company); Neon and Topic Studios (United States); STX Entertainment; STXinternational (United Kingdom); DCM Film Distribution (Germany); Sun Distribution (Chile),https://en.wikipedia.org/wiki/Spencer_(film),https://www.wikidata.org/wiki/Q105100020,https://www.themoviedb.org/movie/716612,no budget text
The Gift,2015,A,"no major studio; budget $6.5M in today's money, avg of 2 sources (< $35M)",high,,6500000,6500000.0,6500000.0,False,"wikipedia: $5 million<ref name=""deadline"">{{cite web|url=https://deadli | tmdb: $5000000",wikipedia+tmdb,United States; Australia,False,STX Entertainment; Blumhouse Productions; Huayi Brothers; H. Brothers; Blue-Tongue Films; Ahimsa Films,wikipedia:studio,,STX Entertainment (United States); Roadshow Films (Australia),https://en.wikipedia.org/wiki/The_Gift_(2015_American_film),https://www.wikidata.org/wiki/Q19750433,https://www.themoviedb.org/movie/328425,no budget text
Nightmare Alley,1947,H,major studio: 20th Century Studios (Disney/Fox),high,Disney/Fox,,,,False,,,United States,False,20th Century Studios,wikidata:P272,,20th Century Studios; 20th Century-Fox,https://en.wikipedia.org/wiki/Nightmare_Alley_(1947_film),https://www.wikidata.org/wiki/Q685234,https://www.themoviedb.org/movie/19169,
The House That Jack Built,2018,A,"no major studio; budget $12.8M in today's money, avg of 2 sources (< $35M)",high,,12805000,12870000.0,12740000.0,False,wikipedia: [[Euro|€]]8.7 million<ref name=conference>{{cite web|url=htt | tmdb: $9800000,wikipedia+tmdb,Denmark; Sweden; France; Germany,True,Zentropa; Film i Väst; Eurimages; Nordisk Film; Les Films du Losange,wikipedia:studio,,TrustNordisk (Denmark); Les Films du Losange (France),https://en.wikipedia.org/wiki/The_House_That_Jack_Built_(2018_film),https://www.wikidata.org/wiki/Q27920121,https://www.themoviedb.org/movie/398173,no budget text
Breaking the Waves,1996,A,"no major studio; budget $15.0M in today's money, avg of 2 sources (< $35M)",high,,15000000,15000000.0,15000000.0,False,wikipedia: $7.5 million<ref>{{cite book |last=Goss |first=Brian Michael | tmdb: $7500000,wikipedia+tmdb,Denmark; Sweden; France; Netherlands; Norway; Iceland,True,Zentropa,wikipedia:studio,,Sandrew Metronome; Metronome Films ApS (Denmark); Senso Films (Finland); Lucky Red (Italy); Pandora Film (Germany); October Films (United States),https://en.wikipedia.org/wiki/Breaking_the_Waves,https://www.wikidata.org/wiki/Q538412,https://www.themoviedb.org/movie/145,no budget text
Europa,1991,A,"no major studio; budget $8.1M in today's money, wikipedia (< $35M)",high,,8120000,8119999.999999999,,False,wikipedia: {{Unbulleted list | item_style=white-space: nowrap | [[Danis,wikipedia,Switzerland; France; Sweden; Denmark; Germany; Spain,True,item_style=white-space: nowrap; Det Danske Filminstitut; Svenska Filminstitutet; Eurimages; Union Generale Cinematographique; UGC,wikipedia:studio,,Nordisk Film Biografdistribution (Denmark; through Constantin- 20th Century Studios; Fox -Nordisk ); Svenska Filminstitutet (Sweden); NEF Filmverleih (Germany),https://en.wikipedia.org/wiki/Europa_(1991_film),https://www.wikidata.org/wiki/Q666017,https://www.themoviedb.org/movie/9065,no budget text
