title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,wikipedia,wikidata,tmdb,notes
The Last Viking,2025,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Denmark; Sweden,True,Zentropa; Zentropa Sweden; Film i Väst,wikipedia:studio,https://en.wikipedia.org/wiki/The_Last_Viking_(2025_film),https://www.wikidata.org/wiki/Q135438510,https://www.themoviedb.org/movie/1295400,no budget text
No Other Choice,2025,A,"no major studio; budget $12.4M in today's money, avg of 2 sources (< $35M)",high,,12390000,12580000.0,12200000.0,False,wikipedia: {{KRW|17 billion|link=yes}}<br />{{nowrap|(~{{US$|12.2 milli | tmdb: $12200000,wikipedia+tmdb,South Korea,True,CJ Entertainment; Moho Film; KG Productions,wikipedia:studio,https://en.wikipedia.org/wiki/No_Other_Choice,https://www.wikidata.org/wiki/Q129906152,https://www.themoviedb.org/movie/639988,no budget text
Dhurandhar,2025,A,"no major studio; budget $27.3M in today's money, avg of 2 sources (< $35M)",medium,,27300000,30600000.0,24000000.0,False,wikipedia: {{INR}}250–255 crore (combined with [[Dhurandhar: The Reveng | tmdb: $24000000,wikipedia+tmdb,India,True,Jyoti Deshpande; Jio Studios; B62 Studios,wikipedia:studio,https://en.wikipedia.org/wiki/Dhurandhar,https://www.wikidata.org/wiki/Q135230927,https://www.themoviedb.org/movie/1291608,no budget text
The Furious,2025,A,"no major studio; budget $20.0M in today's money, avg of 2 sources (< $35M)",high,,20000000,20000000.0,20000000.0,False,wikipedia: [[USD$|US$]]20 million<ref>{{cite web |title=The Best Action | tmdb: $20000000,wikipedia+tmdb,Hong Kong,True,Edko Films; Hengdian Group; Zhejiang Hengdian Film; XYZ Films,wikipedia:studio,https://en.wikipedia.org/wiki/The_Furious,https://www.wikidata.org/wiki/Q125948183,https://www.themoviedb.org/movie/1280738,no budget text
Obsession,2025,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,,,,,,,https://www.themoviedb.org/movie/1724944,no production companies found; step 1 unverified. no budget text
No Other Land,2024,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway,True,Yabayay Media; Antipode films,wikipedia:studio,https://en.wikipedia.org/wiki/No_Other_Land,https://www.wikidata.org/wiki/Q124440294,https://www.themoviedb.org/movie/1232493,no budget text
Challengers,2024,H,major studio: Metro-Goldwyn-Mayer (Amazon MGM),high,Amazon MGM,,,,False,,,United States,False,Metro-Goldwyn-Mayer; Pascal Pictures; Frenesy Film Company; Why Are You Acting?,wikipedia:studio,https://en.wikipedia.org/wiki/Challengers_(film),https://www.wikidata.org/wiki/Q111458251,https://www.themoviedb.org/movie/937287,
The Seed of the Sacred Fig,2024,A,"no major studio; budget $3.0M in today's money, tmdb (< $35M)",high,,3000000,,3000000.0,False,tmdb: $3000000,tmdb,Germany; France; Iran,True,Run Way Pictures; Parallel45; Arte France Cinéma,wikipedia:studio,https://en.wikipedia.org/wiki/The_Seed_of_the_Sacred_Fig,https://www.wikidata.org/wiki/Q125563776,https://www.themoviedb.org/movie/1278263,no budget text
Chime,2024,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Roadstead; Sunborn; C&I entertainment; Nikkatsu Corporation,tmdb,,,https://www.themoviedb.org/movie/1219556,no budget text
Monkey Man,2024,H,major studio: Universal Pictures (Universal),high,Universal,,,,False,,,United States; Canada; Singapore; India,False,Universal Pictures; Bron Studios; Thunder Road Films; Minor Realm; Monkeypaw Productions; S YA Concept; WME Independent; Creative Wealth Media,wikipedia:studio,https://en.wikipedia.org/wiki/Monkey_Man_(film),https://www.wikidata.org/wiki/Q105952623,https://www.themoviedb.org/movie/560016,
Nickel Boys,2024,A,"no major studio; budget $23.2M in today's money, avg of 2 sources (< $35M)",high,,23200000,23200000.0,23200000.0,False,wikipedia: $23.2{{nbsp}}million<!--sourced in #Production--> | tmdb: $23200000,wikipedia+tmdb,United States,False,Orion Pictures; Plan B Entertainment; Anonymous Content; Louverture Films,wikipedia:studio,https://en.wikipedia.org/wiki/Nickel_Boys,https://www.wikidata.org/wiki/Q116030637,https://www.themoviedb.org/movie/1028196,no budget text
The Brutalist,2024,A,"no major studio; budget $9.6M in today's money, avg of 2 sources (< $35M)",high,,9600000,9600000.0,9600000.0,False,wikipedia: $9.6 million ([[Film budgeting|net]])<ref>{{cite interview | | tmdb: $9600000,wikipedia+tmdb,United States; United Kingdom,False,Brookstreet Pictures; Kaplan Morrison,wikipedia:studio,https://en.wikipedia.org/wiki/The_Brutalist,https://www.wikidata.org/wiki/Q101112656,https://www.themoviedb.org/movie/549509,no budget text
Kafka,2024,?,no matching film found in any source,none,,,,,False,,,,,,,,,,
Infinity Pool,2023,A,"no major studio; budget $5.2M in today's money, tmdb (< $35M)",high,,5175000,,5175000.0,False,tmdb: $4500000,tmdb,Canada; Hungary; France,True,Film Forge; Elevation Pictures; 4film; Hero Squared; Telefilm Canada; Eurimages; The Croatian Audiovisual Centre; Celluloid Dreams,wikipedia:studio,https://en.wikipedia.org/wiki/Infinity_Pool_(film),https://www.wikidata.org/wiki/Q109312634,https://www.themoviedb.org/movie/667216,no budget text
The Wonderful Story of Henry Sugar,2023,A,"no major studio; budget $4.6M in today's money, tmdb (< $35M)",high,,4600000,,4600000.0,False,tmdb: $4000000,tmdb,United States,False,Indian Paintbrush (company); Indian Paintbrush; American Empirical Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/The_Wonderful_Story_of_Henry_Sugar_(film),https://www.wikidata.org/wiki/Q110519496,https://www.themoviedb.org/movie/923939,no budget text
Priscilla,2023,A,"no major studio; budget $23.0M in today's money, tmdb (< $35M)",high,,23000000,,23000000.0,False,tmdb: $20000000,tmdb,Italy; United States of America,False,The Apartment Pictures; American Zoetrope,tmdb,,,https://www.themoviedb.org/movie/1020006,no budget text
The Taste of Things,2023,A,"no major studio; budget $7.5M in today's money, tmdb (< $35M)",high,,7475000,,7474999.999999999,False,tmdb: $6500000,tmdb,France,True,Curiosa Films; Gaumont; France 2 Cinéma; Umedia,wikipedia:studio,https://en.wikipedia.org/wiki/The_Taste_of_Things,https://www.wikidata.org/wiki/Q110953025,https://www.themoviedb.org/movie/964960,no budget text
All of Us Strangers,2023,A,"no major studio; budget $5.8M in today's money, tmdb (< $35M)",high,,5750000,,5750000.0,False,tmdb: $5000000,tmdb,United Kingdom,True,Blueprint Pictures; Film4 Productions,wikipedia:studio,https://en.wikipedia.org/wiki/All_of_Us_Strangers,https://www.wikidata.org/wiki/Q113516747,https://www.themoviedb.org/movie/994108,no budget text
Perfect Days,2023,A,"no major studio; budget $16.1M in today's money, tmdb (< $35M)",high,,16100000,,16099999.999999998,False,tmdb: $14000000,tmdb,Japan; Germany,True,Master Mind; Spoon; Wenders Images,wikipedia:studio,https://en.wikipedia.org/wiki/Perfect_Days,https://www.wikidata.org/wiki/Q117663112,https://www.themoviedb.org/movie/976893,no budget text
Evil Does Not Exist,2023,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,NEOPA Inc,wikipedia:studio,https://en.wikipedia.org/wiki/Evil_Does_Not_Exist,https://www.wikidata.org/wiki/Q120897557,https://www.themoviedb.org/movie/1156125,no budget text
Problemista,2023,A,"no major studio; budget $13.8M in today's money, tmdb (< $35M)",high,,13800000,,13799999.999999998,False,tmdb: $12000000,tmdb,United States,False,Fruit Tree (company); Fruit Tree,wikipedia:studio,https://en.wikipedia.org/wiki/Problemista,https://www.wikidata.org/wiki/Q116692764,https://www.themoviedb.org/movie/852247,no budget text
The Whale,2022,A,"no major studio; budget $3.4M in today's money, avg of 2 sources (< $35M)",high,,3450000,3449999.9999999995,3449999.9999999995,False,wikipedia: $3 million<ref>{{cite web |url=https://midhudsonnews.com/202 | tmdb: $3000000,wikipedia+tmdb,United States,False,A24; Protozoa Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/The_Whale_(2022_film),https://www.wikidata.org/wiki/Q105883400,https://www.themoviedb.org/movie/785084,no budget text
DAHMER - Monster: The Jeffrey Dahmer Story,2022,?,no matching film found in any source,none,,,,,False,,,,,,,,,,
Return to Seoul,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Belgium; Germany; Cambodia; Qatar; South Korea; Romania,True,Aurora Films; Vandertastic Films; Frakas Productions; VOO; BeTV (Belgium); BeTV,wikipedia:studio,https://en.wikipedia.org/wiki/Return_to_Seoul,https://www.wikidata.org/wiki/Q112762598,https://www.themoviedb.org/movie/952701,no budget text
R.M.N.,2022,A,"no major studio; budget $3.5M in today's money, wikipedia (< $35M)",high,,3477600,3477599.9999999995,,False,"wikipedia: €2.8 million<ref name=""fne"">{{cite news|url=https://www.film",wikipedia,Romania; France; Belgium,True,Mobra Films; Why Not Productions; France 3 Cinéma; Les Films du Fleuve; Film i Väst,wikipedia:studio,https://en.wikipedia.org/wiki/R.M.N.,https://www.wikidata.org/wiki/Q111633274,https://www.themoviedb.org/movie/919570,no budget text
"Blind Willow, Sleeping Woman",2022,A,"no major studio; budget $7.9M in today's money, tmdb (< $35M)",high,,7935000,,7934999.999999999,False,tmdb: $6900000,tmdb,France; Luxembourg; Canada; Netherlands,True,Miyu Productions; Cinéma Defacto; Doghouse Films; micro_scope; Productions L Unité Centrale; An Original Picture; Studio MA; Arte France Cinéma; Auvergne-Rhône-Alpes Cinéma,wikipedia:studio,"https://en.wikipedia.org/wiki/Blind_Willow,_Sleeping_Woman_(film)",https://www.wikidata.org/wiki/Q113635030,https://www.themoviedb.org/movie/678299,no budget text
We Own This City,2022,?,no matching film found in any source,none,,,,,False,,,,,,,,,,
The Eight Mountains,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy; Belgium; United Kingdom,True,Wildside; Rufus; Menuetto; Pyramide Productions; Vision Distribution,wikipedia:studio,https://en.wikipedia.org/wiki/The_Eight_Mountains,https://www.wikidata.org/wiki/Q111751446,https://www.themoviedb.org/movie/803700,no budget text
Women Talking,2022,A,"no major studio; budget $23.0M in today's money, avg of 2 sources (< $35M)",high,,23000000,23000000.0,23000000.0,False,wikipedia: $20 million | tmdb: $20000000,wikipedia+tmdb,United States,False,Orion Pictures; Plan B Entertainment; Hear/Say Productions,wikipedia:studio,https://en.wikipedia.org/wiki/Women_Talking_(film),https://www.wikidata.org/wiki/Q108030443,https://www.themoviedb.org/movie/777245,no budget text
Sick of Myself,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway; Sweden,True,Oslo Pictures; Film i Väst,wikipedia:studio,https://en.wikipedia.org/wiki/Sick_of_Myself_(film),https://www.wikidata.org/wiki/Q114000704,https://www.themoviedb.org/movie/788734,no budget text
EO,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Poland; Italy; United Kingdom,True,Skopia Film; Alien Films; Recorded Picture Company; Fale Loki Koki; Grupa Moderator Studio Filmowe; Veilo; Centrum Edukacji i Inicjatyw Kulturalnych w Olsztynie; Wojewódzki Dom Kultury w Rzeszowie; Strefa Kultury Wrocław,tmdb,,,https://www.themoviedb.org/movie/785398,no budget text
House of Gucci,2021,H,major studio: Metro-Goldwyn-Mayer Pictures (Amazon MGM),high,Amazon MGM,,,,False,,,United States,False,Metro-Goldwyn-Mayer Pictures; Bron Studios; Bron Creative; Scott Free Productions,wikipedia:studio,https://en.wikipedia.org/wiki/House_of_Gucci,https://www.wikidata.org/wiki/Q105549749,https://www.themoviedb.org/movie/644495,
Fabian: Going to the Dogs,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany,True,Lupa Film; DCM Pictures; ZDF; Arte; Amilux Film; Studio Babelsberg,wikipedia:studio,https://en.wikipedia.org/wiki/Fabian:_Going_to_the_Dogs,https://www.wikidata.org/wiki/Q72626552,https://www.themoviedb.org/movie/620498,tmdb: could not parse budget: '$178'
Ninjababy,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway,True,Motlys,wikipedia:studio,https://en.wikipedia.org/wiki/Ninjababy,https://www.wikidata.org/wiki/Q105637627,https://www.themoviedb.org/movie/654074,no budget text
The Worst Person in the World,2021,A,"no major studio; budget $6.1M in today's money, avg of 2 sources (< $35M)",high,,6095000,6439999.999999999,5750000.0,False,wikipedia: €5 million<br>($5.6 million)<ref>{{cite web |url=https://var | tmdb: $5000000,wikipedia+tmdb,Norway; France; Denmark; Sweden,True,Oslo Pictures; Marin Karmitz; MK Productions; Film i Väst; Snowglobe; B-Reel Films,wikipedia:studio,https://en.wikipedia.org/wiki/The_Worst_Person_in_the_World,https://www.wikidata.org/wiki/Q107089587,https://www.themoviedb.org/movie/660120,no budget text
